Congress,Name,House Committee,committee_type
94th (1975–1977),"DIGGS, Charles Coles, Jr.",District of Columbia,House Committees
93rd (1973–1975),"DIGGS, Charles Coles, Jr.",District of Columbia,House Committees
91st (1969–1971),"DAWSON, William Levi",Government Operations,House Committees
90th (1967–1969),"DAWSON, William Levi",Government Operations,House Committees
89th (1965–1967),"DAWSON, William Levi",Government Operations,House Committees
89th (1965–1967),"POWELL, Adam Clayton, Jr.",Education and Labor,House Committees
88th (1963–1965),"DAWSON, William Levi",Government Operations,House Committees
88th (1963–1965),"POWELL, Adam Clayton, Jr.",Education and Labor,House Committees
87th (1961–1963),"DAWSON, William Levi",Government Operations,House Committees
87th (1961–1963),"POWELL, Adam Clayton, Jr.",Education and Labor,House Committees
86th (1959–1961),"DAWSON, William Levi",Government Operations,House Committees
85th (1957–1959),"DAWSON, William Levi",Government Operations,House Committees
84th (1955–1957),"DAWSON, William Levi",Government Operations,House Committees
82nd (1951–1953),"DAWSON, William Levi",Expenditures in Executive Departments,House Committees
81st (1949–1951),"DAWSON, William Levi",Expenditures in Executive Departments,House Committees
111th (2009–2011),"RANGEL, Charles B.",Joint Committee on Taxation,Joint Committees
98th (1983–1985),"HAWKINS, Augustus Freeman (Gus)",Joint Committee on Printing,Joint Committees
97th (1981–1983),"HAWKINS, Augustus Freeman (Gus)",Joint Committee on the Library,Joint Committees
96th (1979–1981),"HAWKINS, Augustus Freeman (Gus)",Joint Committee on Printing,Joint Committees
