Congress,Name,State or Territory,Party,Service,url,img,Footnote
42nd (1871-1873),"WALLS, Josiah Thomas",FL,Republican,House,https://history.house.gov/People/Detail/23324,https://historycms2.house.gov/uploadedImages/People/Listing/W/W000093.jpg,
43rd (1873-1875),"WALLS, Josiah Thomas",FL,Republican,House,https://history.house.gov/People/Detail/23324,https://historycms2.house.gov/uploadedImages/People/Listing/W/W000093.jpg,
44th (1875-1877),"WALLS, Josiah Thomas",FL,Republican,House,https://history.house.gov/People/Detail/23324,https://historycms2.house.gov/uploadedImages/People/Listing/W/W000093.jpg,
43rd (1873-1875),"CAIN, Richard Harvey",SC,Republican,House,https://history.house.gov/People/Detail/10470,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000022.jpg,
45th (1877-1879),"CAIN, Richard Harvey",SC,Republican,House,https://history.house.gov/People/Detail/10470,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000022.jpg,
43rd (1873-1875),"LYNCH, John Roy",MS,Republican,House,https://history.house.gov/People/Detail/17259,https://historycms2.house.gov/uploadedImages/People/Listing/L/L000533.jpg,
44th (1875-1877),"LYNCH, John Roy",MS,Republican,House,https://history.house.gov/People/Detail/17259,https://historycms2.house.gov/uploadedImages/People/Listing/L/L000533.jpg,
47th (1881-1883),"LYNCH, John Roy",MS,Republican,House,https://history.house.gov/People/Detail/17259,https://historycms2.house.gov/uploadedImages/People/Listing/L/L000533.jpg,
43rd (1873-1875),"RANSIER, Alonzo Jacob",SC,Republican,House,https://history.house.gov/People/Detail/20155,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000060.jpg,
43rd (1873-1875),"RAPIER, James Thomas",AL,Republican,House,https://history.house.gov/People/Detail/20161,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000064.jpg,
44th (1875-1877),"BRUCE, Blanche Kelso",MS,Republican,Senate,https://history.house.gov/People/Detail/10029,https://historycms2.house.gov/assets/33503.jpg?sz=310,
45th (1877-1879),"BRUCE, Blanche Kelso",MS,Republican,Senate,https://history.house.gov/People/Detail/10029,https://historycms2.house.gov/assets/33503.jpg?sz=310,
46th (1879-1881),"BRUCE, Blanche Kelso",MS,Republican,Senate,https://history.house.gov/People/Detail/10029,https://historycms2.house.gov/assets/33503.jpg?sz=310,
44th (1875-1877),"HARALSON, Jeremiah",AL,Republican,House,https://history.house.gov/People/Detail/14507,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000179(1).jpg,
44th (1875-1877),"HYMAN, John Adams",NC,Republican,House,https://history.house.gov/People/Detail/15549,https://historycms2.house.gov/uploadedImages/People/Listing/H/H001025(1).jpg,
44th (1875-1877),"NASH, Charles Edmund",LA,Republican,House,https://history.house.gov/People/Detail/18846,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000008.jpg,
44th (1875-1877),"SMALLS, Robert",SC,Republican,House,https://history.house.gov/People/Detail/21764,https://historycms2.house.gov/uploadedImages/People/Listing/S/S000502.jpg,
45th (1877-1879),"SMALLS, Robert",SC,Republican,House,https://history.house.gov/People/Detail/21764,https://historycms2.house.gov/uploadedImages/People/Listing/S/S000502.jpg,
47th (1881-1883),"SMALLS, Robert",SC,Republican,House,https://history.house.gov/People/Detail/21764,https://historycms2.house.gov/uploadedImages/People/Listing/S/S000502.jpg,
48th (1883-1885),"SMALLS, Robert",SC,Republican,House,https://history.house.gov/People/Detail/21764,https://historycms2.house.gov/uploadedImages/People/Listing/S/S000502.jpg,
49th (1885-1887),"SMALLS, Robert",SC,Republican,House,https://history.house.gov/People/Detail/21764,https://historycms2.house.gov/uploadedImages/People/Listing/S/S000502.jpg,
48th (1883-1885),"O'HARA, James Edward",NC,Republican,House,https://history.house.gov/People/Detail/19135,https://historycms2.house.gov/uploadedImages/People/Listing/O/O000054.jpg,
49th (1885-1887),"O'HARA, James Edward",NC,Republican,House,https://history.house.gov/People/Detail/19135,https://historycms2.house.gov/uploadedImages/People/Listing/O/O000054.jpg,
51st (1889-1891),"CHEATHAM, Henry Plummer",NC,Republican,House,https://history.house.gov/People/Detail/10878,https://historycms2.house.gov/assets/33510.jpg?sz=310,
52nd (1891-1893),"CHEATHAM, Henry Plummer",NC,Republican,House,https://history.house.gov/People/Detail/10878,https://historycms2.house.gov/assets/33510.jpg?sz=310,
51st (1889-1891),"LANGSTON, John Mercer",VA,Republican,House,https://history.house.gov/People/Detail/16682,https://historycms2.house.gov/uploadedImages/People/Listing/L/L000074.jpg,
51st (1889-1891),"MILLER, Thomas Ezekiel",SC,Republican,House,https://history.house.gov/People/Detail/18276,https://historycms2.house.gov/uploadedImages/People/Listing/M/M000757.jpg,
53rd (1893-1895),"MURRAY, George Washington",SC,Republican,House,https://history.house.gov/People/Detail/18709,https://historycms2.house.gov/uploadedImages/People/Listing/M/M001106.jpg,
54th (1895-1897),"MURRAY, George Washington",SC,Republican,House,https://history.house.gov/People/Detail/18709,https://historycms2.house.gov/uploadedImages/People/Listing/M/M001106.jpg,
55th (1897-1899),"WHITE, George Henry",NC,Republican,House,https://history.house.gov/People/Detail/23657,https://historycms2.house.gov/uploadedImages/People/Listing/W/W000372.jpg,
56th (1899-1901),"WHITE, George Henry",NC,Republican,House,https://history.house.gov/People/Detail/23657,https://historycms2.house.gov/uploadedImages/People/Listing/W/W000372.jpg,
71st (1929-1931),"DE PRIEST, Oscar Stanton",IL,Republican,House,https://history.house.gov/People/Detail/12155,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000263.jpg,
72nd (1931-1933),"DE PRIEST, Oscar Stanton",IL,Republican,House,https://history.house.gov/People/Detail/12155,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000263.jpg,
73rd (1933-1935),"DE PRIEST, Oscar Stanton",IL,Republican,House,https://history.house.gov/People/Detail/12155,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000263.jpg,
74th (1935-1937),"MITCHELL, Arthur Wergs",IL,Democrat,House,https://history.house.gov/People/Detail/18340,https://historycms2.house.gov/uploadedImages/People/Listing/M/M000805.jpg,
75th (1937-1939),"MITCHELL, Arthur Wergs",IL,Democrat,House,https://history.house.gov/People/Detail/18340,https://historycms2.house.gov/uploadedImages/People/Listing/M/M000805.jpg,
76th (1939-1941),"MITCHELL, Arthur Wergs",IL,Democrat,House,https://history.house.gov/People/Detail/18340,https://historycms2.house.gov/uploadedImages/People/Listing/M/M000805.jpg,
77th (1941-1943),"MITCHELL, Arthur Wergs",IL,Democrat,House,https://history.house.gov/People/Detail/18340,https://historycms2.house.gov/uploadedImages/People/Listing/M/M000805.jpg,
78th (1943-1945),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
79th (1945-1947),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
80th (1947-1949),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
81st (1949-1951),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
82nd (1951-1953),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
83rd (1953-1955),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
84th (1955-1957),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
85th (1957-1959),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
86th (1959-1961),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
87th (1961-1963),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
88th (1963-1965),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
89th (1965-1967),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
90th (1967-1969),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
91st (1969-1971),"DAWSON, William Levi",IL,Democrat,House,https://history.house.gov/People/Detail/12028,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000158.jpg,
79th (1945-1947),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
80th (1947-1949),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
81st (1949-1951),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
82nd (1951-1953),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
83rd (1953-1955),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
84th (1955-1957),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
85th (1957-1959),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
86th (1959-1961),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
87th (1961-1963),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
88th (1963-1965),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
89th (1965-1967),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
91st (1969-1971),"POWELL, Adam Clayton, Jr.",NY,Democrat,House,https://history.house.gov/People/Detail/19872,https://historycms2.house.gov/uploadedImages/People/Listing/P/P000477.jpg,
84th (1955-1957),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
85th (1957-1959),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
86th (1959-1961),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
87th (1961-1963),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
88th (1963-1965),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
89th (1965-1967),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
90th (1967-1969),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
91st (1969-1971),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
92nd (1971-1973),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
93rd (1973-1975),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
94th (1975-1977),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
95th (1977-1979),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,
96th (1979-1981),"DIGGS, Charles Coles, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/12254,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000344.jpg,"Charles Coles Diggs, Jr. resigned on June 3, 1980, and was succeeded by George Crockett on November 4, 1980."
85th (1957-1959),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
86th (1959-1961),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
87th (1961-1963),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
88th (1963-1965),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
89th (1965-1967),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
90th (1967-1969),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
91st (1969-1971),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
92nd (1971-1973),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
93rd (1973-1975),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
94th (1975-1977),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
95th (1977-1979),"NIX, Robert Nelson Cornelius, Sr.",PA,Democrat,House,https://history.house.gov/People/Detail/18971,https://historycms2.house.gov/uploadedImages/People/Listing/N/N000113.jpg,
88th (1963-1965),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
89th (1965-1967),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
90th (1967-1969),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
91st (1969-1971),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
92nd (1971-1973),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
93rd (1973-1975),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
94th (1975-1977),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
95th (1977-1979),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
96th (1979-1981),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
97th (1981-1983),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
98th (1983-1985),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
99th (1985-1987),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
100th (1987-1989),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
101st (1989-1991),"HAWKINS, Augustus Freeman (Gus)",CA,Democrat,House,https://history.house.gov/People/Detail/14733,https://historycms2.house.gov/uploadedImages/People/Listing/H/H000367(1).jpg,
89th (1965-1967),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
90th (1967-1969),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
91st (1969-1971),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
92nd (1971-1973),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
93rd (1973-1975),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
94th (1975-1977),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
95th (1977-1979),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
96th (1979-1981),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
97th (1981-1983),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
98th (1983-1985),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
99th (1985-1987),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
100th (1987-1989),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
101st (1989-1991),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
102nd (1991-1993),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
103rd (1993-1995),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
104th (1995-1997),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
105th (1997-1999),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
106th (1999-2001),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
107th (2001-2003),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
108th (2003-2005),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
109th (2005-2007),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
110th (2007-2009),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
111th (2009-2011),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
112th (2011-2013),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
113th (2013-2015),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
114th (2015-2017),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,
115th (2017-2019),"CONYERS, John, Jr.",MI,Democrat,House,https://history.house.gov/People/Detail/11348,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000714.jpg,"John Conyers, Jr., resigned on December 5, 2017, and was succeeded by Brenda Jones on November 6, 2018."
90th (1967-1969),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
91st (1969-1971),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
92nd (1971-1973),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
93rd (1973-1975),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
94th (1975-1977),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
95th (1977-1979),"BROOKE, Edward William, III",MA,Republican,Senate,https://history.house.gov/People/Detail/9905,https://historycms2.house.gov/uploadedImages/People/Listing/B/B000871.jpg,
91st (1969-1971),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
92nd (1971-1973),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
93rd (1973-1975),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
94th (1975-1977),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
95th (1977-1979),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
96th (1979-1981),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
97th (1981-1983),"CHISHOLM, Shirley Anita",NY,Democrat,House,https://history.house.gov/People/Detail/10918,https://historycms2.house.gov/uploadedImages/People/Listing/C/C000371.jpg,
91st (1969-1971),"CLAY, William Lacy, Sr.",MO,Democrat,House,https://history.house.gov/People/Detail/11058,https://historycms2.house.gov/assets/33516.jpg?sz=310,
92nd (1971-1973),"CLAY, William Lacy, Sr.",MO,Democrat,House,https://history.house.gov/People/Detail/11058,https://historycms2.house.gov/assets/33516.jpg?sz=310,
